[2018-11-08T13:41:45.993] [TRACE] default - [INFO] Connected to database!
[2018-11-08T13:41:46.181] [INFO] default - Commission change done!
[2018-11-08T13:41:46.185] [INFO] default - Bot -1236 (VGOcraft.com) got from OPSkins!
[2018-11-08T18:09:55.277] [INFO] default - User 76561198863884847 loaded with 0 keys!
[2018-11-08T18:11:31.553] [INFO] default - User 76561198863884847 loaded with 0 keys!
[2018-11-08T18:12:31.963] [INFO] default - User 76561198863884847 loaded with 0 keys!
[2018-11-08T18:42:38.239] [INFO] default - User 76561198863884847 loaded with 0 keys!
[2018-11-08T18:46:16.274] [INFO] default - User 76561198863884847 loaded with 0 keys!
[2018-11-08T18:48:20.213] [INFO] default - User 76561198863884847 loaded with 0 keys!
[2018-11-08T18:49:22.565] [INFO] default - User 76561198863884847 loaded with 0 keys!
[2018-11-08T18:50:39.087] [INFO] default - User 76561198863884847 loaded with 0 keys!
[2018-11-08T18:51:19.799] [INFO] default - User 76561198863884847 loaded with 0 keys!
[2018-11-08T18:54:06.209] [INFO] default - User 76561198863884847 loaded with 0 keys!
[2018-11-08T18:54:34.124] [INFO] default - User 76561198863884847 loaded with 0 keys!
[2018-11-08T18:55:06.722] [INFO] default - User 76561198863884847 loaded with 0 keys!
[2018-11-08T18:55:58.298] [INFO] default - User 76561198863884847 loaded with 0 keys!
[2018-11-08T18:58:50.579] [INFO] default - User 76561198863884847 loaded with 0 keys!
[2018-11-08T19:01:24.462] [INFO] default - User 76561198863884847 loaded with 0 keys!
[2018-11-08T19:05:53.616] [INFO] default - User 76561198863884847 loaded with 0 keys!
[2018-11-08T19:06:36.100] [INFO] default - User 76561198863884847 loaded with 0 keys!
[2018-11-08T19:07:58.361] [INFO] default - User 76561198863884847 loaded with 0 keys!
[2018-11-08T19:11:49.358] [INFO] default - User 76561198863884847 loaded with 0 keys!
[2018-11-08T19:17:54.948] [INFO] default - User 76561198863884847 loaded with 0 keys!
[2018-11-08T19:22:25.258] [INFO] default - User 76561198863884847 loaded with 0 keys!
[2018-11-08T19:28:26.469] [INFO] default - User 76561198863884847 loaded with 0 keys!
[2018-11-08T19:29:18.441] [INFO] default - User 76561198863884847 loaded with 0 keys!
[2018-11-08T20:27:01.752] [INFO] default - User 76561198355622694 loaded with 0 keys!
[2018-11-08T20:39:05.270] [INFO] default - User 76561198863884847 loaded with 0 keys!
[2018-11-09T11:07:22.513] [ERROR] default - [ERROR] Syntax "Error: Connection lost: The server closed the connection."
[2018-11-09T11:07:22.516] [ERROR] default - { Error: Connection lost: The server closed the connection.
    at Protocol.end (/var/www/node_modules/mysql/lib/protocol/Protocol.js:112:13)
    at Socket.<anonymous> (/var/www/node_modules/mysql/lib/Connection.js:97:28)
    at Socket.<anonymous> (/var/www/node_modules/mysql/lib/Connection.js:502:10)
    at emitNone (events.js:91:20)
    at Socket.emit (events.js:185:7)
    at endReadableNT (_stream_readable.js:978:12)
    at args.(anonymous function) (/usr/lib/node_modules/pm2/node_modules/event-loop-inspector/index.js:138:29)
    at _combinedTickCallback (internal/process/next_tick.js:80:11)
    at process._tickCallback (internal/process/next_tick.js:104:9) fatal: true, code: 'PROTOCOL_CONNECTION_LOST' }
[2018-11-09T11:07:22.521] [TRACE] default - [INFO] Trying to reconnect to database...
[2018-11-09T11:07:25.039] [TRACE] default - [INFO] Connected to database!
[2018-11-09T13:32:07.716] [INFO] default - User 76561198863884847 loaded with 0 keys!
[2018-11-09T13:48:03.675] [INFO] default - User 76561198355622694 loaded with 0 keys!
[2018-11-09T14:08:23.191] [INFO] default - User 76561198355622694 loaded with 0 keys!
[2018-11-09T14:11:54.816] [INFO] default - User 76561198355622694 loaded with 0 keys!
[2018-11-09T14:16:36.474] [INFO] default - User 76561198355622694 loaded with 0 keys!
[2018-11-09T14:26:02.379] [INFO] default - User 76561198863884847 loaded with 0 keys!
[2018-11-09T14:27:36.165] [INFO] default - User 76561198863884847 loaded with 0 keys!
[2018-11-09T14:29:18.689] [INFO] default - User 76561198863884847 loaded with 0 keys!
[2018-11-09T14:31:07.116] [INFO] default - User 76561198355622694 loaded with 0 keys!
[2018-11-09T14:42:08.696] [INFO] default - User 76561198355622694 loaded with 0 keys!
[2018-11-09T15:06:45.914] [INFO] default - User 76561198863884847 loaded with 0 keys!
[2018-11-09T15:07:00.749] [INFO] default - User 76561198355622694 loaded with 0 keys!
[2018-11-09T15:08:16.326] [INFO] default - User 76561198355622694 loaded with 0 keys!
[2018-11-09T15:08:42.829] [INFO] default - User 76561198355622694 loaded with 0 keys!
[2018-11-09T15:09:14.163] [INFO] default - User 76561198863884847 loaded with 0 keys!
[2018-11-09T15:09:24.541] [INFO] default - User 76561198863884847 loaded with 0 keys!
[2018-11-09T15:09:25.878] [INFO] default - User 76561198355622694 loaded with 0 keys!
[2018-11-09T15:11:17.104] [INFO] default - User 76561198355622694 loaded with 0 keys!
[2018-11-09T15:18:23.404] [INFO] default - User 76561198355622694 loaded with 0 keys!
[2018-11-09T15:18:46.848] [INFO] default - User 76561198863884847 loaded with 0 keys!
[2018-11-09T15:19:11.496] [INFO] default - User 76561198355622694 loaded with 0 keys!
[2018-11-09T15:19:23.214] [INFO] default - User 76561198355622694 loaded with 0 keys!
[2018-11-09T15:25:00.391] [INFO] default - User 76561198863884847 loaded with 0 keys!
[2018-11-09T15:26:28.921] [INFO] default - User 76561198863884847 loaded with 0 keys!
[2018-11-09T15:30:17.132] [INFO] default - User 76561198863884847 loaded with 0 keys!
[2018-11-09T15:32:50.688] [INFO] default - User 76561198863884847 loaded with 0 keys!
[2018-11-09T15:39:00.227] [INFO] default - User 76561198863884847 loaded with 0 keys!
[2018-11-09T15:42:30.218] [INFO] default - User 76561198863884847 loaded with 0 keys!
[2018-11-09T15:48:29.805] [INFO] default - User 76561198863884847 loaded with 0 keys!
[2018-11-09T15:53:35.741] [INFO] default - User 76561198863884847 loaded with 0 keys!
[2018-11-09T15:57:53.405] [INFO] default - User 76561198863884847 loaded with 0 keys!
[2018-11-09T16:10:27.719] [INFO] default - User 76561198863884847 loaded with 0 keys!
[2018-11-09T16:11:17.269] [INFO] default - User 76561198863884847 loaded with 0 keys!
[2018-11-09T16:12:37.502] [INFO] default - User 76561198863884847 loaded with 0 keys!
[2018-11-09T16:18:56.727] [INFO] default - User 76561198863884847 loaded with 0 keys!
[2018-11-09T16:21:19.447] [INFO] default - User 76561198863884847 loaded with 0 keys!
[2018-11-09T16:22:51.722] [INFO] default - User 76561198863884847 loaded with 0 keys!
[2018-11-09T16:26:37.623] [INFO] default - User 76561198863884847 loaded with 0 keys!
[2018-11-09T16:28:01.742] [INFO] default - User 76561198863884847 loaded with 0 keys!
[2018-11-09T16:30:49.317] [INFO] default - User 76561198863884847 loaded with 0 keys!
[2018-11-09T16:31:24.806] [INFO] default - User 76561198863884847 loaded with 0 keys!
[2018-11-09T16:40:31.483] [INFO] default - User 76561198863884847 loaded with 0 keys!
[2018-11-09T16:41:26.257] [INFO] default - User 76561198863884847 loaded with 0 keys!
[2018-11-09T16:41:51.812] [INFO] default - User 76561198863884847 loaded with 0 keys!
[2018-11-09T16:44:28.357] [INFO] default - User 76561198863884847 loaded with 0 keys!
[2018-11-09T16:50:35.534] [INFO] default - User 76561198863884847 loaded with 0 keys!
[2018-11-09T16:52:29.016] [INFO] default - User 76561198863884847 loaded with 0 keys!
[2018-11-09T16:54:13.126] [INFO] default - User 76561198863884847 loaded with 0 keys!
[2018-11-09T17:02:03.296] [INFO] default - User 76561198863884847 loaded with 0 keys!
[2018-11-09T17:06:29.194] [INFO] default - User 76561198863884847 loaded with 0 keys!
[2018-11-09T17:07:20.332] [INFO] default - User 76561198863884847 loaded with 0 keys!
[2018-11-09T17:09:30.053] [INFO] default - User 76561198863884847 loaded with 0 keys!
[2018-11-09T17:14:20.172] [INFO] default - User 76561198863884847 loaded with 0 keys!
[2018-11-09T17:15:37.744] [INFO] default - User 76561198863884847 loaded with 0 keys!
[2018-11-09T17:17:21.724] [INFO] default - User 76561198863884847 loaded with 0 keys!
[2018-11-09T17:19:04.449] [INFO] default - User 76561198863884847 loaded with 0 keys!
[2018-11-09T17:20:08.901] [INFO] default - User 76561198863884847 loaded with 0 keys!
[2018-11-09T17:21:14.765] [INFO] default - User 76561198355622694 loaded with 0 keys!
[2018-11-09T17:21:30.267] [INFO] default - User 76561198355622694 loaded with 0 keys!
[2018-11-09T17:23:28.050] [INFO] default - User 76561198863884847 loaded with 0 keys!
[2018-11-09T17:26:59.087] [INFO] default - User 76561198863884847 loaded with 0 keys!
[2018-11-09T17:30:07.883] [INFO] default - User 76561198863884847 loaded with 0 keys!
[2018-11-09T17:31:26.270] [INFO] default - User 76561198863884847 loaded with 0 keys!
[2018-11-09T17:32:11.448] [INFO] default - User 76561198863884847 loaded with 0 keys!
[2018-11-09T17:32:13.013] [INFO] default - User 76561198355622694 loaded with 0 keys!
[2018-11-09T17:38:52.076] [INFO] default - User 76561198863884847 loaded with 0 keys!
[2018-11-09T17:40:20.830] [INFO] default - User 76561198863884847 loaded with 0 keys!
[2018-11-09T17:47:29.407] [INFO] default - User 76561198863884847 loaded with 0 keys!
[2018-11-09T17:49:01.041] [INFO] default - User 76561198863884847 loaded with 0 keys!
[2018-11-09T17:50:06.582] [INFO] default - User 76561198863884847 loaded with 0 keys!
[2018-11-09T17:51:00.460] [INFO] default - User 76561198863884847 loaded with 0 keys!
[2018-11-09T17:53:33.449] [INFO] default - User 76561198863884847 loaded with 0 keys!
[2018-11-09T17:55:22.734] [INFO] default - User 76561198355622694 loaded with 0 keys!
[2018-11-09T17:55:39.747] [INFO] default - User 76561198863884847 loaded with 0 keys!
[2018-11-09T17:57:35.588] [INFO] default - User 76561198863884847 loaded with 0 keys!
[2018-11-09T17:59:38.463] [INFO] default - User 76561198863884847 loaded with 0 keys!
[2018-11-09T18:01:34.738] [INFO] default - User 76561198863884847 loaded with 0 keys!
[2018-11-09T18:02:57.378] [INFO] default - User 76561198355622694 loaded with 0 keys!
[2018-11-09T18:04:01.359] [INFO] default - User 76561198863884847 loaded with 0 keys!
[2018-11-09T18:04:42.842] [INFO] default - User 76561198355622694 loaded with 3 keys!
[2018-11-09T18:05:34.286] [INFO] default - User 76561198863884847 loaded with 0 keys!
[2018-11-09T18:05:53.556] [INFO] default - User 76561198355622694 loaded with 3 keys!
[2018-11-09T18:05:58.780] [INFO] default - User 76561198355622694 created trade #8125602 for 1 of keys!
[2018-11-09T18:05:58.781] [INFO] default - checkUserOpenCase #8125602 
[2018-11-09T18:06:22.609] [INFO] default - Trade #8125602 successfully accepted and user got items!
[2018-11-09T18:06:57.523] [INFO] default - User 76561198863884847 loaded with 0 keys!
[2018-11-09T18:09:16.392] [INFO] default - User 76561198863884847 loaded with 0 keys!
[2018-11-09T18:11:01.533] [INFO] default - User 76561198863884847 loaded with 0 keys!
[2018-11-09T18:15:27.221] [INFO] default - User 76561198355622694 loaded with 2 keys!
[2018-11-09T18:16:03.348] [INFO] default - User 76561198863884847 loaded with 0 keys!
[2018-11-09T18:17:58.306] [INFO] default - User 76561198863884847 loaded with 0 keys!
[2018-11-09T18:20:11.942] [INFO] default - User 76561198863884847 loaded with 0 keys!
[2018-11-09T18:20:33.319] [INFO] default - User 76561198355622694 loaded with 2 keys!
[2018-11-09T18:20:58.567] [INFO] default - User 76561198355622694 loaded with 2 keys!
[2018-11-09T18:21:19.314] [INFO] default - User 76561198863884847 loaded with 0 keys!
[2018-11-09T18:22:44.952] [INFO] default - User 76561198863884847 loaded with 0 keys!
[2018-11-09T18:24:07.632] [INFO] default - User 76561198863884847 loaded with 0 keys!
[2018-11-09T18:25:39.338] [INFO] default - User 76561198863884847 loaded with 0 keys!
[2018-11-09T18:26:37.060] [INFO] default - User 76561198863884847 loaded with 0 keys!
[2018-11-09T18:28:31.216] [INFO] default - User 76561198863884847 loaded with 0 keys!
[2018-11-09T18:30:31.073] [INFO] default - User 76561198863884847 loaded with 0 keys!
[2018-11-09T18:32:29.210] [INFO] default - User 76561198863884847 loaded with 0 keys!
[2018-11-09T18:32:46.866] [INFO] default - User 76561198355622694 loaded with 2 keys!
[2018-11-09T18:33:46.910] [INFO] default - User 76561198355622694 loaded with 2 keys!
[2018-11-09T18:34:29.835] [INFO] default - User 76561198863884847 loaded with 0 keys!
[2018-11-09T18:37:25.793] [INFO] default - User 76561198355622694 loaded with 2 keys!
[2018-11-09T18:45:14.276] [INFO] default - User 76561198355622694 loaded with 2 keys!
[2018-11-09T18:46:20.725] [INFO] default - User 76561198863884847 loaded with 0 keys!
[2018-11-09T18:49:12.765] [INFO] default - User 76561198355622694 loaded with 2 keys!
[2018-11-09T18:49:28.976] [INFO] default - User 76561198863884847 loaded with 0 keys!
[2018-11-09T18:49:47.934] [INFO] default - User 76561198355622694 loaded with 2 keys!
[2018-11-09T18:51:18.050] [INFO] default - User 76561198355622694 loaded with 2 keys!
[2018-11-09T18:57:05.203] [INFO] default - User 76561198355622694 loaded with 2 keys!
[2018-11-09T18:57:43.041] [INFO] default - User 76561198355622694 loaded with 2 keys!
[2018-11-09T19:01:53.777] [INFO] default - User 76561198355622694 loaded with 2 keys!
[2018-11-09T19:03:21.823] [INFO] default - User 76561198355622694 loaded with 2 keys!
[2018-11-09T19:03:36.415] [INFO] default - User 76561198863884847 loaded with 0 keys!
[2018-11-09T19:04:26.391] [INFO] default - User 76561198863884847 loaded with 0 keys!
[2018-11-09T19:05:33.258] [INFO] default - User 76561198863884847 loaded with 0 keys!
[2018-11-09T19:05:35.715] [INFO] default - User 76561198355622694 loaded with 2 keys!
[2018-11-09T19:12:39.816] [INFO] default - User 76561198355622694 loaded with 2 keys!
[2018-11-09T19:13:53.462] [INFO] default - User 76561198355622694 loaded with 2 keys!
[2018-11-09T19:19:31.432] [INFO] default - User 76561198863884847 loaded with 0 keys!
[2018-11-09T19:25:37.295] [INFO] default - User 76561198863884847 loaded with 0 keys!
[2018-11-09T19:28:58.878] [INFO] default - User 76561198863884847 loaded with 0 keys!
[2018-11-09T19:30:26.777] [INFO] default - User 76561198863884847 loaded with 0 keys!
[2018-11-09T19:30:39.465] [INFO] default - User 76561198863884847 loaded with 0 keys!
[2018-11-09T19:35:10.391] [INFO] default - User 76561198863884847 loaded with 0 keys!
[2018-11-09T19:39:01.088] [INFO] default - User 76561198863884847 loaded with 0 keys!
[2018-11-09T19:47:57.216] [INFO] default - User 76561198863884847 loaded with 0 keys!
[2018-11-09T19:51:40.407] [INFO] default - User 76561198863884847 loaded with 0 keys!
[2018-11-09T19:53:18.862] [INFO] default - User 76561198863884847 loaded with 0 keys!
[2018-11-09T19:53:43.078] [INFO] default - User 76561198863884847 loaded with 0 keys!
[2018-11-09T19:55:20.988] [INFO] default - User 76561198863884847 loaded with 0 keys!
[2018-11-09T19:57:33.175] [INFO] default - User 76561198863884847 loaded with 0 keys!
[2018-11-09T19:59:01.343] [INFO] default - User 76561198863884847 loaded with 0 keys!
[2018-11-09T19:59:34.516] [INFO] default - User 76561198863884847 loaded with 0 keys!
[2018-11-09T20:06:01.643] [INFO] default - User 76561198355622694 loaded with 2 keys!
[2018-11-09T20:12:26.163] [INFO] default - User 76561198355622694 loaded with 2 keys!
[2018-11-09T20:15:15.531] [INFO] default - User 76561198355622694 loaded with 2 keys!
[2018-11-09T20:20:09.800] [INFO] default - User 76561198863884847 loaded with 0 keys!
[2018-11-09T20:20:42.388] [INFO] default - User 76561198863884847 loaded with 0 keys!
[2018-11-09T20:32:43.463] [INFO] default - User 76561198863884847 loaded with 0 keys!
[2018-11-09T20:33:17.407] [INFO] default - User 76561198863884847 loaded with 0 keys!
[2018-11-09T20:33:58.808] [INFO] default - User 76561198863884847 loaded with 0 keys!
[2018-11-09T20:35:54.178] [INFO] default - User 76561198863884847 loaded with 0 keys!
[2018-11-09T20:37:52.029] [INFO] default - User 76561198863884847 loaded with 0 keys!
[2018-11-09T20:39:24.994] [INFO] default - User 76561198863884847 loaded with 0 keys!
[2018-11-09T20:52:07.067] [INFO] default - User 76561198863884847 loaded with 0 keys!
[2018-11-10T05:00:54.893] [ERROR] default - [ERROR] Syntax "Error: Connection lost: The server closed the connection."
[2018-11-10T05:00:54.897] [ERROR] default - { Error: Connection lost: The server closed the connection.
    at Protocol.end (/var/www/node_modules/mysql/lib/protocol/Protocol.js:112:13)
    at Socket.<anonymous> (/var/www/node_modules/mysql/lib/Connection.js:97:28)
    at Socket.<anonymous> (/var/www/node_modules/mysql/lib/Connection.js:502:10)
    at emitNone (events.js:91:20)
    at Socket.emit (events.js:185:7)
    at endReadableNT (_stream_readable.js:978:12)
    at args.(anonymous function) (/usr/lib/node_modules/pm2/node_modules/event-loop-inspector/index.js:138:29)
    at _combinedTickCallback (internal/process/next_tick.js:80:11)
    at process._tickCallback (internal/process/next_tick.js:104:9) fatal: true, code: 'PROTOCOL_CONNECTION_LOST' }
[2018-11-10T05:00:54.901] [TRACE] default - [INFO] Trying to reconnect to database...
[2018-11-10T05:00:57.410] [TRACE] default - [INFO] Connected to database!
[2018-11-10T18:32:08.255] [ERROR] default - [ERROR]
[2018-11-10T18:32:08.258] [ERROR] default - TypeError: Cannot read property 'mute' of undefined
    at Socket.<anonymous> (/var/www/socket/main.js:312:32)
    at emitTwo (events.js:106:13)
    at Socket.emit (events.js:191:7)
    at /var/www/node_modules/socket.io/lib/socket.js:503:12
    at args.(anonymous function) (/usr/lib/node_modules/pm2/node_modules/event-loop-inspector/index.js:138:29)
    at _combinedTickCallback (internal/process/next_tick.js:73:7)
    at process._tickCallback (internal/process/next_tick.js:104:9)
[2018-11-11T15:29:56.889] [INFO] default - User 76561198863884847 loaded with 0 keys!
[2018-11-12T15:48:48.180] [INFO] default - User 76561198863884847 loaded with 0 keys!
[2018-11-12T16:12:49.545] [INFO] default - User 76561198863884847 loaded with 0 keys!
